"review_id","rating_date","count_helpful","count_unhelpful","employee_job_end_year","employee_length","employee_status","covid_related_review","flags_business_outlook","flags_ceo_approval","flags_recommend_frend","rating_culture_values","rating_diversity_inclusion","rating_overall","rating_work_life","summary","company_name","employee_location","employee_job_title","advice_to_management","review_pros","review_cons","rating_compensation_benefits","rating_senior_leadership","rating_career_opportunities","sector","rating_year","helpfulness_score","career_missing","employee_job_quit","employee_job_start_year","has_review_text","distilbert_summary_label","distilbert_summary_score","distilbert_pros_label","distilbert_pros_score","distilbert_cons_label","distilbert_cons_score","distilbert_advice_label","distilbert_advice_score","distilbert_summary_signed","distilbert_pros_signed","distilbert_cons_signed","distilbert_advice_signed","roberta_summary_label","roberta_summary_score","roberta_pros_label","roberta_pros_score","roberta_cons_label","roberta_cons_score","roberta_advice_label","roberta_advice_score","roberta_summary_signed","roberta_pros_signed","roberta_cons_signed","roberta_advice_signed","vader_summary_neg","vader_summary_neu","vader_summary_pos","vader_summary_compound","vader_pros_neg","vader_pros_neu","vader_pros_pos","vader_pros_compound","vader_cons_neg","vader_cons_neu","vader_cons_pos","vader_cons_compound","vader_advice_neg","vader_advice_neu","vader_advice_pos","vader_advice_compound","summary_wc","pros_wc","cons_wc","advice_wc"
28951745,"2019-08-30",10,0,2019,20,"REGULAR",0,"NEGATIVE","DISAPPROVE","NEGATIVE",1,3,2,1,"IT is Out of Control","Elevance Health","","Manager","Humble yourselves. Remember when you were coming up in your career. Respect your associates and appreciate all that they do to try and keep up with your ever changing orders. Stop treating people like numbers.","Salary was good for the position, but only because they never promoted anyone.","Relentless pressure from the top. Constantly changing direction. Senior management is easily sold on every shiny new toy, rather than strengthening existing infrastructure.",2,1,1,"Healthcare",2019,10,FALSE,TRUE,1999,TRUE,"NEGATIVE",0.998816967010498,"NEGATIVE",0.989254951477051,"NEGATIVE",0.995147287845612,"POSITIVE",0.999049723148346,-0.998816967010498,-0.989254951477051,-0.995147287845612,0.999049723148346,"negative",0.846499025821686,"neutral",0.549548387527466,"negative",0.717975378036499,"neutral",0.541613876819611,-0.846499025821686,0,-0.717975378036499,0,0,1,0,0,0.188,0.69,0.122,-0.2612,0.076,0.625,0.299,0.6597,0.053,0.747,0.2,0.7269,5,13,23,35
59978917,"2022-02-19",2,0,NA,6,"REGULAR",0,"POSITIVE","APPROVE","POSITIVE",3,5,5,2,"Great Company to work with","HDFC Bank","New Delhi","Assistant Vice President","Bring this great Company at par with similar great companies in India, e.g., Infosys, TATA, etc., in terms of work culture and environment.","Great brand name. Top Management are consistent on bank's goals and strategies. Constantly growing company.","Work hours do not adhere to internationally accepted standards. Supervisory culture still embedded in 20th century, with juniors addressing Supervisors as 'Sir', and Supervisor wielding his authority with abandon.",3,5,5,"Finance",2022,2,FALSE,FALSE,2016,TRUE,"POSITIVE",0.999885082244873,"POSITIVE",0.999865412712097,"NEGATIVE",0.994762003421783,"POSITIVE",0.999814093112946,0.999885082244873,0.999865412712097,-0.994762003421783,0.999814093112946,"positive",0.972282707691193,"positive",0.970956325531006,"negative",0.6573126912117,"positive",0.941311836242676,0.972282707691193,0.970956325531006,-0.6573126912117,0.941311836242676,0,0.494,0.506,0.6249,0,0.612,0.388,0.765,0.09,0.805,0.105,-0.128,0,0.719,0.281,0.8481,5,15,29,23
42749601,"2021-02-19",0,0,2021,2,"REGULAR",1,"POSITIVE","APPROVE","POSITIVE",5,5,4,5,"Great","Google","Chennai","Software Developer","Good","Good and best and bestest best","Not bad and not bad and not bad",5,5,3,"Technology",2021,0,FALSE,TRUE,2019,TRUE,"POSITIVE",0.999863028526306,"POSITIVE",0.999862551689148,"POSITIVE",0.999318957328796,"POSITIVE",0.999816119670868,0.999863028526306,0.999862551689148,0.999318957328796,0.999816119670868,"positive",0.75655859708786,"positive",0.977416396141052,"negative",0.527285575866699,"positive",0.684437334537506,0.75655859708786,0.977416396141052,-0.527285575866699,0.684437334537506,0,0,1,0.6249,0,0.21,0.79,0.9062,0,0.369,0.631,0.8201,0,0,1,0.4404,1,6,8,1
12095563,"2016-09-27",4,0,2015,2,"REGULAR",0,"NEGATIVE","NO_OPINION","NEGATIVE",1,5,2,1,"Vodafone is an Egotistical Company that only cares about its net promoter score","Vodafone","London, England","Retail Store Manager","You have some amazing staff members who are totally disengaged. Your TNPS system is flawed. Your computer system Seibel, regardless of what you say, is not fit for purpose. People's jobs should not be on the line based on a survey score.","Unfortunately there were no pros during my time working for this company.","Retail stores are severely understaffed. The new system, Seibel, is not properly understood by staff. Bonuses are based on Net Promoter Score, specifically the first question: 'Would you recommend Vodafone to a friend or family?' Staff are penalized if a customer gives less than 9/10, potentially leading to job loss. Vodafone does not realize that people rank based on their whole experience, not just the last one. Most departments that can resolve customer issues are only available via email.",2,2,2,"Telecommunications",2016,4,FALSE,TRUE,2013,TRUE,"NEGATIVE",0.999590337276459,"NEGATIVE",0.997945845127106,"NEGATIVE",0.999164938926697,"NEGATIVE",0.999557077884674,-0.999590337276459,-0.997945845127106,-0.999164938926697,-0.999557077884674,"negative",0.86491060256958,"negative",0.882703721523285,"negative",0.860949337482452,"negative",0.953258812427521,-0.86491060256958,-0.882703721523285,-0.860949337482452,-0.953258812427521,0.119,0.692,0.189,0.2732,0.315,0.685,0,-0.5574,0.059,0.809,0.132,0.765,0.109,0.812,0.079,-0.1053,13,12,79,42
46084540,"2021-04-26",0,0,NA,2,"REGULAR",1,"NEGATIVE","APPROVE","NEGATIVE",5,5,3,3,"Great company, poor processes, high expectations","Verizon","Rolling Meadows, IL","Business Account Manager","Handle customer escalations so BAMs can focus on sales. Be realistic about sales goals, especially given the recent environment. Fix broken processes, or figure out the chain of command so someone is accountable to get the problems fixed.","Working with business owners or employees to solve telecommunication and technology. Great salary, if sales goals are met.","Sales expectations are unrealistic. Due to Covid, the job shifted from outside sales to inside sales, becoming a glorified telemarketer role. Leadership micromanages and constantly changes directives. It's impossible to consistently perform without feeling overwhelmed and stressed, often working 50-60 hours per week. Operations and customer service teams are unhelpful, with broken and inconsistent processes, causing more problems for customers that Business Account Managers are expected to fix, even if they didn't create the issue.",4,2,3,"Telecommunications",2021,0,FALSE,FALSE,2019,TRUE,"NEGATIVE",0.754595458507538,"POSITIVE",0.974159896373749,"NEGATIVE",0.997815370559692,"NEGATIVE",0.737910568714142,-0.754595458507538,0.974159896373749,-0.997815370559692,-0.737910568714142,"positive",0.693823277950287,"positive",0.899987995624542,"negative",0.855294704437256,"neutral",0.627617299556732,0.693823277950287,0.899987995624542,-0.855294704437256,0,0.277,0.357,0.366,0.25,0,0.731,0.269,0.7096,0.152,0.808,0.039,-0.7597,0.139,0.861,0,-0.7003,6,18,75,38
58316203,"2022-01-21",1,0,2021,2,"",0,"POSITIVE","APPROVE","POSITIVE",5,5,5,5,"Commercial Product Internship","Florida Blue","","","","Very inclusive and helpful environment which made succeeding in the role very achievable.","",5,5,3,"Finance",2022,1,TRUE,TRUE,2019,TRUE,"NEGATIVE",0.940089643001556,"POSITIVE",0.999776422977448,"POSITIVE",0.748120903968811,"POSITIVE",0.748120903968811,-0.940089643001556,0.999776422977448,0.748120903968811,0.748120903968811,"neutral",0.795598387718201,"positive",0.977339446544647,"positive",0.401298612356186,"positive",0.401298612356186,0,0.977339446544647,0.401298612356186,0.401298612356186,0,1,0,0,0,0.53,0.47,0.8341,0,0,0,0,0,0,0,0,3,13,0,0
39919074,"2020-12-29",7,0,2018,1,"",0,"NEUTRAL","DISAPPROVE","NEGATIVE",1,1,1,3,"Failing Product & Failing Management","YouTrip","","","","Decent work-life balance. Opportunity for learning.","Growth within the company is based on favoritism and proximity to the boss. No 13th month pay, performance bonus, or employee stock options. The CEO promised job retention in 2020, but staff were quietly let go, leading to disappointment and resignations among those who stayed.",1,1,3,"Finance",2020,7,TRUE,TRUE,2017,TRUE,"NEGATIVE",0.99978905916214,"POSITIVE",0.999864101409912,"NEGATIVE",0.992496013641357,"POSITIVE",0.748120903968811,-0.99978905916214,0.999864101409912,-0.992496013641357,0.748120903968811,"negative",0.893840670585632,"positive",0.845993220806122,"negative",0.58598929643631,"positive",0.401298612356186,-0.893840670585632,0.845993220806122,-0.58598929643631,0.401298612356186,0.688,0.312,0,-0.765,0,0.641,0.359,0.4215,0.185,0.683,0.132,-0.5994,0,0,0,0,5,6,45,0
77730254,"2023-06-26",3,0,2023,2,"",0,"NEGATIVE","DISAPPROVE","NEGATIVE",1,1,1,1,"Regrettable Experience - A Workplace To Be Wary Of","Chargebee","","","","Eye-opening: Teaches you exactly how a company should not be run. Compensation is tolerable. Diverse clientele: Exposure to a broad range of clients if you can tolerate the cons.","Communication breakdown: An endemic lack of communication exacerbates every problem. Soul-crushing work-life balance: Expectation to dedicate your life to the job; personal time and commitments are disregarded. Dead-end job: Promises of advancement are smoke and mirrors; no growth or meaningful recognition. Toxic culture: Cut-throat environment fosters hostility and stress; cooperation and collegiality are non-existent.",2,1,4,"Technology",2023,3,TRUE,TRUE,2021,TRUE,"NEGATIVE",0.994564175605774,"POSITIVE",0.993511140346527,"NEGATIVE",0.999362528324127,"POSITIVE",0.748120903968811,-0.994564175605774,0.993511140346527,-0.999362528324127,0.748120903968811,"negative",0.910821735858917,"neutral",0.687593579292297,"negative",0.875755131244659,"positive",0.401298612356186,-0.910821735858917,0,-0.875755131244659,0.401298612356186,0.292,0.708,0,-0.5106,0,1,0,0,0.269,0.67,0.061,-0.9177,0,0,0,0,9,29,54,0
20514877,"2018-05-09",6,0,2018,4,"REGULAR",0,"NEGATIVE","NO_OPINION","NEGATIVE",2,5,1,2,"HR is a joke","TD","Tampa, FL","Store Supervisor","Get it together.","Most employees are great. Management will ask you to do things that are against policy, potentially leading to legal issues.","HR and upper management do not support employees who report ethical violations. When employees exceed goals (e.g., 200%), management questions why they are above goal instead of recognizing excellent sales ability. Payouts are the lowest seen at a financial institution. Clawbacks occur if customers close or charge off accounts within 90 days, negating sales credit and requiring double work to catch up. They don't run Chex Systems, leading to frequent clawbacks. Technology is poor. Hold times for Bank Support, Fraud Management, or Collection Department average an hour, meaning only about 5 customers can be helped per day for service instead of making sales. Most branches are open 7 days a week and late hours, but not all necessary departments are available during those times.",1,1,3,"Finance",2018,6,FALSE,TRUE,2014,TRUE,"NEGATIVE",0.997682809829712,"POSITIVE",0.999192297458649,"NEGATIVE",0.999565303325653,"POSITIVE",0.994609475135803,-0.997682809829712,0.999192297458649,-0.999565303325653,0.994609475135803,"negative",0.857725262641907,"positive",0.519186913967133,"negative",0.74998676776886,"negative",0.547884047031403,-0.857725262641907,0.519186913967133,-0.74998676776886,-0.547884047031403,0,0.577,0.423,0.296,0,0.754,0.246,0.7063,0.075,0.852,0.073,-0.0719,0,1,0,0,4,20,124,3
39851660,"2020-12-28",1,0,2020,1,"",1,"NEGATIVE","DISAPPROVE","NEGATIVE",1,1,1,1,"Worst company","360 Degree Cloud Technologies","","","","Although they are sweet initially at the time of interview, making everyone feel it is a great place to work, only the salary package is okay.","No job security. Management shouts at employees and makes them feel ashamed and embarrassed even for small mistakes. No good work culture. A lot of politics, especially senior people blame juniors for every mistake. Hiring process is too slow. Senior HRs are irresponsible, making teamwork difficult as they try to dominate and shift blame.",2,1,4,"Technology",2020,1,TRUE,TRUE,2019,TRUE,"NEGATIVE",0.999787628650665,"POSITIVE",0.997554957866669,"NEGATIVE",0.999486804008484,"POSITIVE",0.748120903968811,-0.999787628650665,0.997554957866669,-0.999486804008484,0.748120903968811,"negative",0.899769067764282,"positive",0.917864143848419,"negative",0.929824411869049,"positive",0.401298612356186,-0.899769067764282,0.917864143848419,-0.929824411869049,0.401298612356186,0.804,0.196,0,-0.6249,0,0.719,0.281,0.8402,0.409,0.591,0,-0.9753,0,0,0,0,2,26,54,0
